time,epoch,batch,loss,cost
0min1sec,2,200,-2.010,15.825
0min1sec,2,210,-1.846,15.813
0min1sec,2,220,-1.760,15.819
0min1sec,2,230,-2.027,15.829
0min1sec,2,240,-2.053,15.840
0min1sec,2,250,-1.740,15.831
0min1sec,2,260,-1.629,15.826
0min1sec,2,270,-1.681,15.824
0min1sec,2,280,-1.548,15.830
0min1sec,2,290,-1.510,15.831
0min1sec,2,300,-1.526,15.835
0min1sec,2,310,-1.560,15.831
0min1sec,2,320,-1.901,15.847
0min1sec,2,330,-2.070,15.853
0min1sec,2,340,-1.801,15.846
0min1sec,2,350,-1.927,15.851
0min1sec,2,360,-1.937,15.864
0min1sec,2,370,-2.257,15.878
0min1sec,2,380,-2.430,15.896
0min1sec,2,390,-2.593,15.911
0min1sec,2,400,-2.683,15.912
0min1sec,2,410,-2.567,15.898
0min1sec,2,420,-2.416,15.896
0min1sec,2,430,-2.625,15.909
0min1sec,2,440,-2.706,15.911
0min1sec,2,450,-2.522,15.905
0min1sec,2,460,-2.501,15.900
0min1sec,2,470,-2.539,15.899
0min1sec,2,480,-2.483,15.902
0min1sec,2,490,-2.498,15.901
0min1sec,2,500,-2.597,15.903
0min1sec,2,510,-2.623,15.905
0min1sec,2,520,-2.522,15.898
0min1sec,2,530,-2.443,15.892
0min1sec,2,540,-2.401,15.890
0min1sec,2,550,-2.346,15.892
0min1sec,2,560,-2.369,15.893
0min1sec,2,570,-2.234,15.889
0min1sec,2,580,-2.199,15.879
0min1sec,2,590,-2.140,15.874
0min1sec,2,600,-2.122,15.873
0min1sec,2,610,-2.256,15.882
0min1sec,2,620,-2.315,15.884
0min15sec,3,0,7.116,15.180
0min1sec,3,10,-0.757,15.687
0min1sec,3,20,-0.504,15.586
0min1sec,3,30,0.012,15.554
0min1sec,3,40,1.675,15.567
0min1sec,3,50,-0.440,15.668
0min1sec,3,60,-0.082,15.678
0min1sec,3,70,-0.349,15.725
0min1sec,3,80,-0.245,15.727
0min1sec,3,90,-0.072,15.727
0min1sec,3,100,-0.042,15.723
0min1sec,3,110,-0.247,15.732
0min1sec,3,120,-0.084,15.756
0min1sec,3,130,-0.191,15.753
0min1sec,3,140,0.122,15.749
0min1sec,3,150,-0.099,15.752
0min1sec,3,160,-0.375,15.761
0min1sec,3,170,-0.387,15.764
0min1sec,3,180,-0.784,15.777
0min1sec,3,190,-1.026,15.789
0min1sec,3,200,-1.291,15.802
0min1sec,3,210,-1.488,15.824
0min1sec,3,220,-1.713,15.843
0min1sec,3,230,-1.915,15.843
0min1sec,3,240,-1.733,15.837
0min1sec,3,250,-1.660,15.848
0min1sec,3,260,-1.582,15.849
0min1sec,3,270,-1.565,15.835
0min1sec,3,280,-1.800,15.862
0min1sec,3,290,-1.754,15.865
0min1sec,3,300,-1.767,15.868
0min1sec,3,310,-1.906,15.871
0min1sec,3,320,-2.038,15.877
0min1sec,3,330,-2.046,15.878
0min1sec,3,340,-1.977,15.883
0min1sec,3,350,-1.965,15.881
0min1sec,3,360,-1.817,15.879
0min1sec,3,370,-1.742,15.871
0min1sec,3,380,-1.577,15.868
0min1sec,3,390,-1.368,15.863
0min1sec,3,400,-1.450,15.865
0min1sec,3,410,-1.497,15.865
0min1sec,3,420,-1.408,15.866
0min1sec,3,430,-1.644,15.870
0min1sec,3,440,-1.798,15.872
0min1sec,3,450,-1.554,15.868
0min1sec,3,460,-1.558,15.864
0min1sec,3,470,-1.556,15.861
0min1sec,3,480,-1.560,15.867
0min1sec,3,490,-1.653,15.870
0min1sec,3,500,-1.683,15.867
0min1sec,3,510,-1.650,15.867
0min1sec,3,520,-1.619,15.863
0min1sec,3,530,-1.540,15.858
0min1sec,3,540,-1.511,15.857
0min1sec,3,550,-1.432,15.859
0min1sec,3,560,-1.422,15.858
0min1sec,3,570,-1.406,15.862
0min1sec,3,580,-1.550,15.867
0min1sec,3,590,-1.701,15.876
0min1sec,3,600,-1.695,15.872
0min1sec,3,610,-1.794,15.876
0min1sec,3,620,-1.972,15.884
0min14sec,4,0,-18.972,16.993
0min1sec,4,10,-21.603,16.948
0min1sec,4,20,-18.861,16.771
0min1sec,4,30,-14.098,16.463
0min1sec,4,40,-9.087,16.257
0min1sec,4,50,-8.413,16.162
0min1sec,4,60,-8.180,16.151
0min1sec,4,70,-7.268,16.123
0min1sec,4,80,-6.901,16.101
0min1sec,4,90,-6.838,16.110
0min1sec,4,100,-5.902,16.072
0min1sec,4,110,-5.135,16.025
0min1sec,4,120,-4.319,16.013
0min1sec,4,130,-4.365,16.006
0min1sec,4,140,-3.941,15.996
0min1sec,4,150,-4.027,15.993
0min1sec,4,160,-3.883,15.973
0min1sec,4,170,-3.387,15.940
0min1sec,4,180,-3.498,15.922
0min1sec,4,190,-3.599,15.922
0min1sec,4,200,-3.666,15.922
0min1sec,4,210,-3.568,15.914
0min1sec,4,220,-3.517,15.919
0min1sec,4,230,-3.557,15.916
0min1sec,4,240,-3.479,15.917
0min1sec,4,250,-3.242,15.919
0min1sec,4,260,-2.887,15.902
0min1sec,4,270,-3.173,15.903
0min1sec,4,280,-3.415,15.917
0min1sec,4,290,-3.200,15.911
0min1sec,4,300,-3.180,15.909
0min1sec,4,310,-3.440,15.922
0min1sec,4,320,-3.604,15.924
0min1sec,4,330,-3.691,15.926
0min1sec,4,340,-3.762,15.933
0min1sec,4,350,-3.898,15.935
0min1sec,4,360,-3.653,15.927
0min1sec,4,370,-3.449,15.913
0min1sec,4,380,-3.340,15.910
0min1sec,4,390,-3.209,15.909
0min1sec,4,400,-3.231,15.908
0min1sec,4,410,-3.283,15.904
0min1sec,4,420,-3.234,15.905
0min1sec,4,430,-3.361,15.907
0min1sec,4,440,-3.333,15.903
0min1sec,4,450,-3.168,15.900
0min1sec,4,460,-3.204,15.897
0min1sec,4,470,-3.210,15.898
0min1sec,4,480,-3.068,15.894
0min1sec,4,490,-3.054,15.892
0min1sec,4,500,-2.976,15.883
0min1sec,4,510,-2.877,15.880
0min1sec,4,520,-2.836,15.881
0min1sec,4,530,-2.829,15.882
0min1sec,4,540,-2.761,15.882
0min1sec,4,550,-2.607,15.877
0min1sec,4,560,-2.528,15.874
0min1sec,4,570,-2.359,15.874
0min1sec,4,580,-2.421,15.875
0min1sec,4,590,-2.428,15.874
0min1sec,4,600,-2.612,15.883
0min1sec,4,610,-2.722,15.889
0min1sec,4,620,-2.704,15.888
0min13sec,5,0,9.273,15.367
